".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"b054_0.571_0.214_max",0,3901,Inf,0.571,0.571,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b055_0.643_0.214_max",0,3901,Inf,0.643,0.643,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b056_0.714_0.214_max",0,3901,Inf,0.714,0.714,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b057_0.786_0.214_max",0,3901,Inf,0.786,0.786,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b058_0.857_0.214_max",0,3901,Inf,0.857,0.857,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b059_0.929_0.214_max",0,3901,Inf,0.929,0.929,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b060_1_0.214_max",0,3901,Inf,1,1,0.214,0.214,0.214,1,1,1,1,1,1,1,1,1,1,1,1
"b061_0_0.286_max",0,3901,Inf,0,0,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b062_0.071_0.286_max",0,3901,Inf,0.071,0.071,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b063_0.143_0.286_max",0,3901,Inf,0.143,0.143,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b064_0.214_0.286_max",0,3901,Inf,0.214,0.214,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b065_0.286_0.286_max",0,3901,Inf,0.286,0.286,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b066_0.357_0.286_max",0,3901,Inf,0.357,0.357,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b067_0.429_0.286_max",0,3901,Inf,0.429,0.429,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b068_0.5_0.286_max",0,3901,Inf,0.5,0.5,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b069_0.571_0.286_max",0,3901,Inf,0.571,0.571,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b070_0.643_0.286_max",0,3901,Inf,0.643,0.643,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b071_0.714_0.286_max",0,3901,Inf,0.714,0.714,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b072_0.786_0.286_max",0,3901,Inf,0.786,0.786,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b073_0.857_0.286_max",0,3901,Inf,0.857,0.857,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b074_0.929_0.286_max",0,3901,Inf,0.929,0.929,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b075_1_0.286_max",0,3901,Inf,1,1,0.286,0.286,0.286,1,1,1,1,1,1,1,1,1,1,1,1
"b076_0_0.357_max",0,3901,Inf,0,0,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b077_0.071_0.357_max",0,3901,Inf,0.071,0.071,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b078_0.143_0.357_max",0,3901,Inf,0.143,0.143,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b079_0.214_0.357_max",0,3901,Inf,0.214,0.214,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b080_0.286_0.357_max",0,3901,Inf,0.286,0.286,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b081_0.357_0.357_max",0,3901,Inf,0.357,0.357,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b082_0.429_0.357_max",0,3901,Inf,0.429,0.429,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b083_0.5_0.357_max",0,3901,Inf,0.5,0.5,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b084_0.571_0.357_max",0,3901,Inf,0.571,0.571,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b085_0.643_0.357_max",0,3901,Inf,0.643,0.643,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b086_0.714_0.357_max",0,3901,Inf,0.714,0.714,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b087_0.786_0.357_max",0,3901,Inf,0.786,0.786,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b088_0.857_0.357_max",0,3901,Inf,0.857,0.857,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b089_0.929_0.357_max",0,3901,Inf,0.929,0.929,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b090_1_0.357_max",0,3901,Inf,1,1,0.357,0.357,0.357,1,1,1,1,1,1,1,1,1,1,1,1
"b091_0_0.429_max",0,3901,Inf,0,0,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b092_0.071_0.429_max",0,3901,Inf,0.071,0.071,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b093_0.143_0.429_max",0,3901,Inf,0.143,0.143,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b094_0.214_0.429_max",0,3901,Inf,0.214,0.214,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b095_0.286_0.429_max",0,3901,Inf,0.286,0.286,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b096_0.357_0.429_max",0,3901,Inf,0.357,0.357,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b097_0.429_0.429_max",0,3901,Inf,0.429,0.429,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b098_0.5_0.429_max",0,3901,Inf,0.5,0.5,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b099_0.571_0.429_max",0,3901,Inf,0.571,0.571,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b100_0.643_0.429_max",0,3901,Inf,0.643,0.643,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b101_0.714_0.429_max",0,3901,Inf,0.714,0.714,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b102_0.786_0.429_max",0,3901,Inf,0.786,0.786,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b103_0.857_0.429_max",0,3901,Inf,0.857,0.857,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b104_0.929_0.429_max",0,3901,Inf,0.929,0.929,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b105_1_0.429_max",0,3901,Inf,1,1,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,1,1,1
"b106_0_0.5_max",0,3901,Inf,0,0,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b107_0.071_0.5_max",0,3901,Inf,0.071,0.071,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b108_0.143_0.5_max",0,3901,Inf,0.143,0.143,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b109_0.214_0.5_max",0,3901,Inf,0.214,0.214,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b110_0.286_0.5_max",0,3901,Inf,0.286,0.286,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b111_0.357_0.5_max",0,3901,Inf,0.357,0.357,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b112_0.429_0.5_max",0,3901,Inf,0.429,0.429,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b113_0.5_0.5_max",0,3901,Inf,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b114_0.571_0.5_max",0,3901,Inf,0.571,0.571,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b115_0.643_0.5_max",0,3901,Inf,0.643,0.643,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b116_0.714_0.5_max",0,3901,Inf,0.714,0.714,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b117_0.786_0.5_max",0,3901,Inf,0.786,0.786,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b118_0.857_0.5_max",0,3901,Inf,0.857,0.857,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b119_0.929_0.5_max",0,3901,Inf,0.929,0.929,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b120_1_0.5_max",0,3901,Inf,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
"b121_0_0.571_max",0,3901,Inf,0,0,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b122_0.071_0.571_max",0,3901,Inf,0.071,0.071,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b123_0.143_0.571_max",0,3901,Inf,0.143,0.143,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b124_0.214_0.571_max",0,3901,Inf,0.214,0.214,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b125_0.286_0.571_max",0,3901,Inf,0.286,0.286,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b126_0.357_0.571_max",0,3901,Inf,0.357,0.357,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b127_0.429_0.571_max",0,3901,Inf,0.429,0.429,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b128_0.5_0.571_max",0,3901,Inf,0.5,0.5,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b129_0.571_0.571_max",0,3901,Inf,0.571,0.571,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b130_0.643_0.571_max",0,3901,Inf,0.643,0.643,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b131_0.714_0.571_max",0,3901,Inf,0.714,0.714,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b132_0.786_0.571_max",0,3901,Inf,0.786,0.786,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b133_0.857_0.571_max",0,3901,Inf,0.857,0.857,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b134_0.929_0.571_max",0,3901,Inf,0.929,0.929,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b135_1_0.571_max",0,3901,Inf,1,1,0.571,0.571,0.571,1,1,1,1,1,1,1,1,1,1,1,1
"b136_0_0.643_max",0,3901,Inf,0,0,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b137_0.071_0.643_max",0,3901,Inf,0.071,0.071,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b138_0.143_0.643_max",0,3901,Inf,0.143,0.143,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b139_0.214_0.643_max",0,3901,Inf,0.214,0.214,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b140_0.286_0.643_max",0,3901,Inf,0.286,0.286,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b141_0.357_0.643_max",0,3901,Inf,0.357,0.357,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b142_0.429_0.643_max",0,3901,Inf,0.429,0.429,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b143_0.5_0.643_max",0,3901,Inf,0.5,0.5,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b144_0.571_0.643_max",0,3901,Inf,0.571,0.571,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b145_0.643_0.643_max",0,3901,Inf,0.643,0.643,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b146_0.714_0.643_max",0,3901,Inf,0.714,0.714,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b147_0.786_0.643_max",0,3901,Inf,0.786,0.786,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b148_0.857_0.643_max",0,3901,Inf,0.857,0.857,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b149_0.929_0.643_max",0,3901,Inf,0.929,0.929,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b150_1_0.643_max",0,3901,Inf,1,1,0.643,0.643,0.643,1,1,1,1,1,1,1,1,1,1,1,1
"b151_0_0.714_max",0,3901,Inf,0,0,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b152_0.071_0.714_max",0,3901,Inf,0.071,0.071,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b153_0.143_0.714_max",0,3901,Inf,0.143,0.143,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b154_0.214_0.714_max",0,3901,Inf,0.214,0.214,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b155_0.286_0.714_max",0,3901,Inf,0.286,0.286,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b156_0.357_0.714_max",0,3901,Inf,0.357,0.357,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b157_0.429_0.714_max",0,3901,Inf,0.429,0.429,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b158_0.5_0.714_max",0,3901,Inf,0.5,0.5,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b159_0.571_0.714_max",0,3901,Inf,0.571,0.571,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b160_0.643_0.714_max",0,3901,Inf,0.643,0.643,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b161_0.714_0.714_max",0,3901,Inf,0.714,0.714,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b162_0.786_0.714_max",0,3901,Inf,0.786,0.786,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b163_0.857_0.714_max",0,3901,Inf,0.857,0.857,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b164_0.929_0.714_max",0,3901,Inf,0.929,0.929,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b165_1_0.714_max",0,3901,Inf,1,1,0.714,0.714,0.714,1,1,1,1,1,1,1,1,1,1,1,1
"b166_0_0.786_max",0,3901,Inf,0,0,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b167_0.071_0.786_max",0,3901,Inf,0.071,0.071,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b168_0.143_0.786_max",0,3901,Inf,0.143,0.143,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b169_0.214_0.786_max",0,3901,Inf,0.214,0.214,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b170_0.286_0.786_max",0,3901,Inf,0.286,0.286,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b171_0.357_0.786_max",0,3901,Inf,0.357,0.357,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b172_0.429_0.786_max",0,3901,Inf,0.429,0.429,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b173_0.5_0.786_max",0,3901,Inf,0.5,0.5,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b174_0.571_0.786_max",0,3901,Inf,0.571,0.571,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b175_0.643_0.786_max",0,3901,Inf,0.643,0.643,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b176_0.714_0.786_max",0,3901,Inf,0.714,0.714,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b177_0.786_0.786_max",0,3901,Inf,0.786,0.786,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b178_0.857_0.786_max",0,3901,Inf,0.857,0.857,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b179_0.929_0.786_max",0,3901,Inf,0.929,0.929,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b180_1_0.786_max",0,3901,Inf,1,1,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,1,1,1
"b181_0_0.857_max",0,3901,Inf,0,0,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b182_0.071_0.857_max",0,3901,Inf,0.071,0.071,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b183_0.143_0.857_max",0,3901,Inf,0.143,0.143,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b184_0.214_0.857_max",0,3901,Inf,0.214,0.214,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b185_0.286_0.857_max",0,3901,Inf,0.286,0.286,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b186_0.357_0.857_max",0,3901,Inf,0.357,0.357,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b187_0.429_0.857_max",0,3901,Inf,0.429,0.429,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b188_0.5_0.857_max",0,3901,Inf,0.5,0.5,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b189_0.571_0.857_max",0,3901,Inf,0.571,0.571,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b190_0.643_0.857_max",0,3901,Inf,0.643,0.643,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b191_0.714_0.857_max",0,3901,Inf,0.714,0.714,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b192_0.786_0.857_max",0,3901,Inf,0.786,0.786,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b193_0.857_0.857_max",0,3901,Inf,0.857,0.857,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b194_0.929_0.857_max",0,3901,Inf,0.929,0.929,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b195_1_0.857_max",0,3901,Inf,1,1,0.857,0.857,0.857,1,1,1,1,1,1,1,1,1,1,1,1
"b196_0_0.929_max",0,3901,Inf,0,0,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b197_0.071_0.929_max",0,3901,Inf,0.071,0.071,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b198_0.143_0.929_max",0,3901,Inf,0.143,0.143,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b199_0.214_0.929_max",0,3901,Inf,0.214,0.214,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b200_0.286_0.929_max",0,3901,Inf,0.286,0.286,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b201_0.357_0.929_max",0,3901,Inf,0.357,0.357,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b202_0.429_0.929_max",0,3901,Inf,0.429,0.429,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b203_0.5_0.929_max",0,3901,Inf,0.5,0.5,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b204_0.571_0.929_max",0,3901,Inf,0.571,0.571,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b205_0.643_0.929_max",0,3901,Inf,0.643,0.643,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
"b206_0.714_0.929_max",0,3901,Inf,0.714,0.714,0.929,0.929,0.929,1,1,1,1,1,1,1,1,1,1,1,1
